precision,lang,layer_num,layer_label,top1_token,top1_prob,p_cairo_en,p_cairo_ar,p_egypt_en,p_egypt_ar,p_capital_en,p_city_ar,p_qmark_en,p_qmark_ar,p_dots,p_colon,p_what_en
FP16 Baseline,EN,0,embed, is,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP16 Baseline,EN,1,L0, is,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP16 Baseline,EN,2,L1,<bos>,0.9254966378211976,0.0,0.0,0.0,0.0,0.0,0.0,5.3277311561690966e-39,0.0,1.947804865411496e-43,1.2898711564981832e-36,1.3494504211447988e-42
FP16 Baseline,EN,3,L2, is,1.0,0.0,5.995959947060887e-40,1.8216880036222624e-44,1.7475118108415388e-38,2.5806312519005826e-41,1.8454868159612763e-38,5.325596671443307e-35,7.670426973501798e-38,3.72962032252986e-39,4.0242231764485215e-34,1.3779081413846505e-33
FP16 Baseline,EN,4,L3,<bos>,1.0,0.0,9.809089250273721e-45,0.0,6.2918301048184294e-43,1.3056682519254344e-39,5.615143076395973e-41,7.302463372871059e-39,5.270283524325637e-42,8.787542669780928e-42,1.9277275094301583e-37,7.446215743989636e-37
FP16 Baseline,EN,5,L4, is,0.9999910593032836,3.625475475450174e-30,1.9994777182153597e-28,5.868804834262825e-32,4.673554818059375e-27,5.172551804747674e-23,7.801521273464047e-25,1.6573677958829822e-26,4.8094196230233696e-26,3.7030752178021926e-32,1.0239855325799524e-24,1.2655321342577901e-20
FP16 Baseline,EN,6,L5,<bos>,0.9999996423721312,9.949008901936552e-40,6.067368547348599e-37,8.816969937531749e-42,4.45437375279034e-34,5.571529601004843e-31,1.1008794795618582e-33,9.85777026988698e-32,8.886972620675397e-35,1.2701618240930508e-35,2.3408209576286064e-30,5.877508993772472e-30
FP16 Baseline,EN,7,L6, is,0.9999996423721312,1.1445263000962023e-29,1.0956919750550198e-27,1.54461688025733e-30,2.5125082705077183e-26,4.334284036161692e-22,2.8354630206090416e-23,1.3038968306427752e-23,2.1527649255312747e-24,4.7465595037173056e-27,1.7355945617853108e-21,4.404105713510374e-20
FP16 Baseline,EN,8,L7, is,0.9999954700469972,1.6137487921606278e-24,3.6224076249190905e-23,1.478673914296671e-25,1.428978489556874e-22,7.592206350366323e-14,1.0892090636460633e-16,9.308283078598769e-19,5.856052288433009e-20,1.34480488526813e-22,8.353353726218817e-18,1.2774331517646678e-16
FP16 Baseline,EN,9,L8, is,0.9999899864196776,6.313840105908518e-23,3.946628194787478e-22,8.489558872186416e-23,3.846701252791637e-21,5.473422279647644e-13,2.8134150215140645e-14,2.2195206326682133e-17,1.6476827756354553e-19,1.035168149775454e-20,5.561219696790934e-16,1.0231692134710958e-15
FP16 Baseline,EN,10,L9, is,0.9994338154792786,1.3113443692613031e-20,5.138102814472169e-20,3.069435901106712e-20,2.2705164311694416e-19,2.4624158267982916e-10,2.0836072450736157e-11,3.681764230512377e-16,2.425556136219126e-15,2.8470741911171848e-18,9.903944933045348e-14,2.229135794137513e-13
FP16 Baseline,EN,11,L10, is,0.9979827404022216,1.5821166921223517e-19,2.6276058038140033e-18,1.4158062655536718e-18,1.1716778664314825e-18,9.939200851238894e-11,1.5482060078397808e-10,4.570250970205303e-15,6.174392035385125e-15,5.236633131070066e-18,1.2497465085373194e-12,1.308976256379768e-12
FP16 Baseline,EN,12,L11, is,0.7847986221313477,2.4116933832461253e-16,2.990600698025037e-16,4.30439512133076e-16,3.645907406796082e-17,2.323542747095786e-10,1.433122176486279e-09,3.888269168987081e-15,1.8829232064591225e-13,1.4773397763721546e-17,3.5954201313241623e-13,1.5997704463227569e-12
FP16 Baseline,EN,13,L12, is,0.9993054866790771,1.0439105925889586e-19,6.448356610073072e-17,8.114805694304065e-19,1.1812198083875882e-18,5.918059011594812e-12,3.7685715659208086e-11,1.918020863661552e-12,6.106623046857676e-14,3.4786522314004106e-18,5.647967336874782e-12,3.4319911496050175e-11
FP16 Baseline,EN,14,L13, is,0.9976561069488524,4.492098666757836e-20,3.980485222438183e-16,3.4562826826975625e-19,7.473508979756983e-20,4.2752728440786925e-11,7.266272999961743e-11,1.0828113579386399e-11,5.158173150762724e-15,6.330826156430107e-17,3.008951310334851e-09,3.09905504036756e-11
FP16 Baseline,EN,15,L14, called,0.67476487159729,7.212735420589807e-16,2.056056198776815e-13,1.4787890828321312e-15,6.866937793293486e-17,1.3726003444958224e-08,1.5722060098255497e-08,1.7538437369069015e-10,3.760363114641008e-12,1.6929341229657976e-13,3.7310293521386484e-08,3.7043534462100076e-08
FP16 Baseline,EN,16,L15, called,0.9774987697601318,6.533886423666565e-17,3.094326341042549e-15,6.423101661006196e-16,2.292089154720266e-16,4.470920522692268e-09,4.0175782145546174e-10,1.8601511997395903e-10,2.2729490476726923e-14,1.5328827074855e-13,1.5757674276528633e-08,5.7603568137665206e-08
FP16 Baseline,EN,17,L16, called,0.912395179271698,1.2890465028671165e-15,6.388461808171099e-13,2.5437123619216538e-15,4.0624981287648966e-16,8.171205934104364e-08,6.9871473051819075e-09,1.598354559817494e-09,2.6543229216685092e-14,1.3214800087535394e-10,3.0991666335467016e-06,7.711905709584244e-07
FP16 Baseline,EN,18,L17, called,0.7627742886543274,3.324083400982374e-18,7.367948384822647e-16,2.901431951480801e-17,1.60307486907491e-17,6.452841594395409e-10,1.370246277554443e-10,4.0316166405318654e-08,2.819977028108091e-15,4.068599346318536e-10,0.0013363308971747,7.1153822318592574e-06
FP16 Baseline,EN,19,L18, called,0.8159239292144775,1.5789234503182925e-11,1.1447192206723994e-13,3.2772437541517263e-10,4.2967544669828005e-13,9.04821195746308e-09,7.45171591098881e-10,2.661230098510714e-07,4.0943238247470246e-14,1.0044449993973359e-10,0.0002783364325296,5.178330684429966e-05
FP16 Baseline,EN,20,L19, called,0.9943138360977172,1.1898579994548686e-12,2.5776864299195505e-15,1.8286513796261783e-12,6.064268858396119e-16,2.0183115623240155e-08,7.606849178332098e-12,1.6448394646317865e-08,4.856391405282014e-16,2.4462324527130264e-11,0.0030318291392177,2.6405286916997284e-06
FP16 Baseline,EN,21,L20, called,0.980109930038452,4.7257916691023645e-08,2.485557116030379e-12,1.7642664218442405e-08,1.845524601196136e-12,1.0557248941722722e-07,1.876584478088805e-11,7.066602393024368e-06,4.308009569735372e-14,3.47067242500998e-07,0.0173265431076288,1.6804680853965692e-05
FP16 Baseline,EN,22,L21,:,0.6598864793777466,1.424747608780308e-07,2.2424942111576307e-11,2.169236346105663e-09,2.4472427122973484e-12,5.874047204201816e-08,2.118418288010737e-11,0.0008732678834348,1.9732433799457032e-14,1.7358171362502617e-06,0.6598864793777466,7.544365507783368e-05
FP16 Baseline,EN,23,L22,:,0.7752283811569214,5.934569344390184e-05,2.0056338534413243e-11,6.487248811026802e-06,1.0447470145946712e-11,4.19673673590637e-09,5.168635701727209e-13,0.0105311861261725,4.1135668039460425e-15,9.74537615547888e-05,0.7752283811569214,3.3618318866501795e-06
FP16 Baseline,EN,24,L23,:,0.5282503962516785,4.823291988031997e-07,4.843651521535541e-13,4.832387290321095e-08,2.936248791850227e-13,4.642554340961169e-09,1.217695513649683e-13,0.017367223277688,1.287216382305455e-15,2.417694304313045e-05,0.5282503962516785,2.5171519155264832e-05
